,Partija,Veids,Vērtība,Name,Datums,Flags,Legislature,Frakcija,Deputāts
390,"Par Cilvēcīgu Latviju, Politiskā partija (KPV LV)",Nauda,EUR 50.00,Māris Možvillo,07/02/2022,above_yearly_limit,13,Neatkarīgie,Māris Možvillo
391,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 90.00,Juris Rancāns,07/02/2022,,13,Jauno Konservatīvo frakcija,Juris Rancāns
392,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 80.00,Sandis Riekstiņš,05/02/2022,,13,Jauno Konservatīvo frakcija,Sandis Riekstiņš
393,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 300.00,Evita Zālīte-Grosa,03/02/2022,,13,Jauno Konservatīvo frakcija,Evita Zālīte-Grosa
394,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 350.00,Krišjānis Feldmans,03/02/2022,,13,Jauno Konservatīvo frakcija,Krišjānis Feldmans
395,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 85.00,Jānis Butāns,03/02/2022,,13,Jauno Konservatīvo frakcija,Jānis Butāns
396,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 65.00,Eva Mārtuža,27/01/2022,,13,Jauno Konservatīvo frakcija,Eva Mārtuža
397,Latvijas Sociālistiskā partija,Biedra nauda,EUR 150.00,Artūrs Rubiks,26/01/2022,,13,Saskaņa,Artūrs Rubiks
398,"Kustība ""Par!""",Biedra nauda,EUR 50.00,Vita Anda Tērauda,25/01/2022,,13,Attīstībai/Par!,Vita Anda Tērauda
399,"Saskaņa, sociāldemokrātiskā partija",Nauda,EUR 600.00,Jānis Krišāns,25/01/2022,,13,Saskaņa,Jānis Krišāns
400,"Kustība ""Par!""",Biedra nauda,EUR 25.00,Inese Voika,21/01/2022,,13,Attīstībai/Par!,Inese Voika
401,"Kustība ""Par!""",Nauda,EUR 25.00,Krista Baumane,20/01/2022,,13,Attīstībai/Par!,Krista Baumane
402,"Kustība ""Par!""",Nauda,EUR 100.00,Ilmārs Dūrītis,20/01/2022,,13,Attīstībai/Par!,Ilmārs Dūrītis
403,"Kustība ""Par!""",Nauda,EUR 1000.00,Inese Voika,20/01/2022,,13,Attīstībai/Par!,Inese Voika
404,"Kustība ""Par!""",Nauda,EUR 100.00,Mārtiņš Šteins,19/01/2022,,13,Attīstībai/Par!,Mārtiņš Šteins
405,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda,EUR 100.00,Edmunds Teirumnieks,17/01/2022,,13,Nacionāla Apvienība VL-TB/LNNK,Edmunds Teirumnieks
406,"VIENOTĪBA, Partija",Nauda,EUR 50.00,Iveta Benhena-Bēkena,10/01/2022,,13,Pie frakcijām nepiederošie deputāti,Iveta Benhena-Bēkena
407,Konservatīvie (Jaunā konservatīvā partija),Biedra nauda,EUR 61.00,Ainars Bašķis,10/01/2022,,13,Jauno Konservatīvo frakcija,Ainars Bašķis
408,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 100.00,Reinis Znotiņš,10/01/2022,,13,Jauno Konservatīvo frakcija,Reinis Znotiņš
409,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 100.00,Normunds Žunna,09/01/2022,,13,Jauno Konservatīvo frakcija,Normunds Žunna
410,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 50.00,Aivars Geidāns,08/01/2022,above_yearly_limit,13,Pie frakcijām nepiederošie deputāti,Aivars Geidāns
411,"Par Cilvēcīgu Latviju, Politiskā partija (KPV LV)",Nauda,EUR 50.00,Māris Možvillo,07/01/2022,above_yearly_limit,13,Neatkarīgie,Māris Možvillo
412,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 90.00,Juris Rancāns,06/01/2022,,13,Jauno Konservatīvo frakcija,Juris Rancāns
413,Konservatīvie (Jaunā konservatīvā partija),Biedra nauda,EUR 150.00,Dagmāra Beitnere-Le Galla,06/01/2022,,13,Jauno Konservatīvo frakcija,Dagmāra Beitnere-Le Galla
414,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 85.00,Jānis Butāns,03/01/2022,,13,Jauno Konservatīvo frakcija,Jānis Butāns
415,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 80.00,Sandis Riekstiņš,02/01/2022,,13,Jauno Konservatīvo frakcija,Sandis Riekstiņš
416,Latvijas attīstībai,Biedra nauda,EUR 1900.00,Juris Pūce,01/01/2022,above_yearly_limit,13,Attīstībai/Par!,Juris Pūce
417,Latvijas attīstībai,Nauda,EUR 600.00,Juris Pūce,01/01/2022,above_yearly_limit,13,Attīstībai/Par!,Juris Pūce
418,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 65.00,Eva Mārtuža,27/12/2021,,13,Jauno Konservatīvo frakcija,Eva Mārtuža
419,"Kustība ""Par!""",Biedra nauda,EUR 50.00,Vita Anda Tērauda,25/12/2021,,13,Attīstībai/Par!,Vita Anda Tērauda
420,Latvijas Sociālistiskā partija,Biedra nauda,EUR 150.00,Artūrs Rubiks,22/12/2021,,13,Saskaņa,Artūrs Rubiks
421,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda,EUR 100.00,Edmunds Teirumnieks,15/12/2021,,13,Nacionāla Apvienība VL-TB/LNNK,Edmunds Teirumnieks
422,"Saskaņa, sociāldemokrātiskā partija",Nauda,EUR 200.00,Valērijs Agešins,15/12/2021,,13,Saskaņa,Valērijs Agešins
423,"Saskaņa, sociāldemokrātiskā partija",Nauda,EUR 2000.00,Jānis Krišāns,14/12/2021,,13,Saskaņa,Jānis Krišāns
424,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 100.00,Normunds Žunna,13/12/2021,,13,Jauno Konservatīvo frakcija,Normunds Žunna
425,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 250.00,Linda Medne,11/12/2021,,13,Jauno Konservatīvo frakcija,Linda Medne
426,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 15.00,Līva Kreituse,10/12/2021,,13,Jauno Konservatīvo frakcija,Līva Kreituse
427,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 85.00,Jānis Butāns,10/12/2021,,13,Jauno Konservatīvo frakcija,Jānis Butāns
428,"Kustība ""Par!""",Nauda,EUR 25.00,Krista Baumane,09/12/2021,,13,Attīstībai/Par!,Krista Baumane
429,"Kustība ""Par!""",Nauda,EUR 50.00,Mārtiņš Šteins,09/12/2021,,13,Attīstībai/Par!,Mārtiņš Šteins
430,"Kustība ""Par!""",Nauda,EUR 10.00,Inese Voika,08/12/2021,,13,Attīstībai/Par!,Inese Voika
431,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 90.00,Juris Rancāns,08/12/2021,,13,Jauno Konservatīvo frakcija,Juris Rancāns
432,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 100.00,Reinis Znotiņš,08/12/2021,,13,Jauno Konservatīvo frakcija,Reinis Znotiņš
433,"Kustība ""Par!""",Nauda,EUR 50.00,Vita Anda Tērauda,08/12/2021,,13,Attīstībai/Par!,Vita Anda Tērauda
434,Konservatīvie (Jaunā konservatīvā partija),Biedra nauda,EUR 150.00,Dagmāra Beitnere-Le Galla,07/12/2021,,13,Jauno Konservatīvo frakcija,Dagmāra Beitnere-Le Galla
435,"Kustība ""Par!""",Nauda,EUR 100.00,Mārtiņš Šteins,07/12/2021,,13,Attīstībai/Par!,Mārtiņš Šteins
436,"Kustība ""Par!""",Nauda,EUR 200.00,Ilmārs Dūrītis,07/12/2021,,13,Attīstībai/Par!,Ilmārs Dūrītis
437,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 80.00,Sandis Riekstiņš,02/12/2021,,13,Jauno Konservatīvo frakcija,Sandis Riekstiņš
438,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 65.00,Eva Mārtuža,27/11/2021,,13,Jauno Konservatīvo frakcija,Eva Mārtuža
439,"Kustība ""Par!""",Biedra nauda,EUR 50.00,Vita Anda Tērauda,25/11/2021,,13,Attīstībai/Par!,Vita Anda Tērauda
440,"Kustība ""Par!""",Nauda,EUR 500.00,Inese Voika,22/11/2021,,13,Attīstībai/Par!,Inese Voika
441,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 85.00,Jānis Butāns,22/11/2021,,13,Jauno Konservatīvo frakcija,Jānis Butāns
442,"Kustība ""Par!""",Nauda,EUR 500.00,Inese Voika,22/11/2021,,13,Attīstībai/Par!,Inese Voika
443,Latvijas attīstībai,Nauda,EUR 760.00,Gatis Zamurs,16/11/2021,above_yearly_limit,13,Attīstībai/Par!,Gatis Zamurs
444,"VIENOTĪBA, Partija",Nauda,EUR 50.00,Iveta Benhena-Bēkena,15/11/2021,,13,Pie frakcijām nepiederošie deputāti,Iveta Benhena-Bēkena
445,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda,EUR 100.00,Edmunds Teirumnieks,15/11/2021,,13,Nacionāla Apvienība VL-TB/LNNK,Edmunds Teirumnieks
446,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 100.00,Krišjānis Feldmans,11/11/2021,,13,Jauno Konservatīvo frakcija,Krišjānis Feldmans
447,"Saskaņa, sociāldemokrātiskā partija",Nauda,EUR 1000.00,Regīna Ločmele,10/11/2021,,13,Saskaņa,Regīna Ločmele
448,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 250.00,Linda Medne,10/11/2021,,13,Jauno Konservatīvo frakcija,Linda Medne
449,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 35.00,Linda Medne,10/11/2021,,13,Jauno Konservatīvo frakcija,Linda Medne
450,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 100.00,Reinis Znotiņš,10/11/2021,,13,Jauno Konservatīvo frakcija,Reinis Znotiņš
451,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 65.00,Līva Kreituse,10/11/2021,,13,Jauno Konservatīvo frakcija,Līva Kreituse
452,Latvijas Sociālistiskā partija,Biedra nauda,EUR 150.00,Artūrs Rubiks,09/11/2021,,13,Saskaņa,Artūrs Rubiks
453,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 61.00,Normunds Žunna,09/11/2021,,13,Jauno Konservatīvo frakcija,Normunds Žunna
454,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 90.00,Juris Rancāns,08/11/2021,,13,Jauno Konservatīvo frakcija,Juris Rancāns
455,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 80.00,Sandis Riekstiņš,05/11/2021,,13,Jauno Konservatīvo frakcija,Sandis Riekstiņš
456,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 200.00,Evita Zālīte-Grosa,03/11/2021,,13,Jauno Konservatīvo frakcija,Evita Zālīte-Grosa
457,Konservatīvie (Jaunā konservatīvā partija),Biedra nauda,EUR 150.00,Dagmāra Beitnere-Le Galla,02/11/2021,,13,Jauno Konservatīvo frakcija,Dagmāra Beitnere-Le Galla
458,Latvijas attīstībai,Nauda,EUR 100.00,Gatis Zamurs,01/11/2021,above_yearly_limit,13,Attīstībai/Par!,Gatis Zamurs
459,"VIENOTĪBA, Partija",Biedra nauda,EUR 1000.00,Arvils Ašeradens,01/11/2021,,13,Jaunā Vienotība,Arvils Ašeradens
460,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 65.00,Eva Mārtuža,27/10/2021,,13,Jauno Konservatīvo frakcija,Eva Mārtuža
461,Latvijas attīstībai,Nauda,EUR 10.00,Dace Rukšāne-Ščipčinska,26/10/2021,,13,Attīstībai/Par!,Dace Rukšāne-Ščipčinska
462,"Kustība ""Par!""",Biedra nauda,EUR 50.00,Vita Anda Tērauda,25/10/2021,,13,Attīstībai/Par!,Vita Anda Tērauda
463,"Saskaņa, sociāldemokrātiskā partija",Nauda,EUR 100.00,Vitālijs Orlovs,20/10/2021,,13,Saskaņa,Vitālijs Orlovs
464,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda,EUR 100.00,Edmunds Teirumnieks,15/10/2021,,13,Nacionāla Apvienība VL-TB/LNNK,Edmunds Teirumnieks
465,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 85.00,Jānis Butāns,11/10/2021,,13,Jauno Konservatīvo frakcija,Jānis Butāns
466,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 100.00,Reinis Znotiņš,11/10/2021,,13,Jauno Konservatīvo frakcija,Reinis Znotiņš
467,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 61.00,Normunds Žunna,11/10/2021,,13,Jauno Konservatīvo frakcija,Normunds Žunna
468,Konservatīvie (Jaunā konservatīvā partija),Biedra nauda,EUR 150.00,Dagmāra Beitnere-Le Galla,09/10/2021,,13,Jauno Konservatīvo frakcija,Dagmāra Beitnere-Le Galla
469,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 5.00,Jānis Butāns,08/10/2021,,13,Jauno Konservatīvo frakcija,Jānis Butāns
470,Latvijas Sociālistiskā partija,Biedra nauda,EUR 150.00,Artūrs Rubiks,07/10/2021,,13,Saskaņa,Artūrs Rubiks
471,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 80.00,Sandis Riekstiņš,07/10/2021,,13,Jauno Konservatīvo frakcija,Sandis Riekstiņš
472,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 90.00,Juris Rancāns,07/10/2021,,13,Jauno Konservatīvo frakcija,Juris Rancāns
473,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 58.21,Līva Kreituse,06/10/2021,,13,Jauno Konservatīvo frakcija,Līva Kreituse
474,"Kustība ""Par!""",Nauda,EUR 15.00,Ilmārs Dūrītis,04/10/2021,,13,Attīstībai/Par!,Ilmārs Dūrītis
475,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 60.98,Līva Kreituse,30/09/2021,,13,Jauno Konservatīvo frakcija,Līva Kreituse
476,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 65.00,Eva Mārtuža,27/09/2021,,13,Jauno Konservatīvo frakcija,Eva Mārtuža
477,"Kustība ""Par!""",Biedra nauda,EUR 50.00,Vita Anda Tērauda,25/09/2021,,13,Attīstībai/Par!,Vita Anda Tērauda
478,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 5.00,Jānis Cielēns,24/09/2021,,13,Jauno Konservatīvo frakcija,Jānis Cielēns
479,Latvijas attīstībai,Nauda,EUR 10.00,Dace Rukšāne-Ščipčinska,23/09/2021,,13,Attīstībai/Par!,Dace Rukšāne-Ščipčinska
480,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 35.00,Evita Zālīte-Grosa,22/09/2021,,13,Jauno Konservatīvo frakcija,Evita Zālīte-Grosa
481,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 85.00,Jānis Butāns,15/09/2021,,13,Jauno Konservatīvo frakcija,Jānis Butāns
482,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda,EUR 100.00,Edmunds Teirumnieks,15/09/2021,,13,Nacionāla Apvienība VL-TB/LNNK,Edmunds Teirumnieks
483,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 15.00,Normunds Žunna,14/09/2021,,13,Jauno Konservatīvo frakcija,Normunds Žunna
484,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 35.00,Krišjānis Feldmans,14/09/2021,,13,Jauno Konservatīvo frakcija,Krišjānis Feldmans
485,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 100.00,Reinis Znotiņš,13/09/2021,,13,Jauno Konservatīvo frakcija,Reinis Znotiņš
486,"Kustība ""Par!""",Nauda,EUR 20.00,Inese Voika,12/09/2021,,13,Attīstībai/Par!,Inese Voika
487,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 200.00,Evita Zālīte-Grosa,10/09/2021,,13,Jauno Konservatīvo frakcija,Evita Zālīte-Grosa
488,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 61.00,Normunds Žunna,09/09/2021,,13,Jauno Konservatīvo frakcija,Normunds Žunna
489,Latvijas Sociālistiskā partija,Biedra nauda,EUR 150.00,Artūrs Rubiks,09/09/2021,,13,Saskaņa,Artūrs Rubiks
490,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 90.00,Juris Rancāns,08/09/2021,,13,Jauno Konservatīvo frakcija,Juris Rancāns
491,"Kustība ""Par!""",Nauda,EUR 50.00,Mārtiņš Šteins,08/09/2021,,13,Attīstībai/Par!,Mārtiņš Šteins
492,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 80.00,Sandis Riekstiņš,08/09/2021,,13,Jauno Konservatīvo frakcija,Sandis Riekstiņš
493,"VIENOTĪBA, Partija",Nauda,EUR 50.00,Iveta Benhena-Bēkena,07/09/2021,,13,Pie frakcijām nepiederošie deputāti,Iveta Benhena-Bēkena
494,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 35.00,Ainars Bašķis,05/09/2021,,13,Jauno Konservatīvo frakcija,Ainars Bašķis
495,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 5.00,Līva Kreituse,02/09/2021,,13,Jauno Konservatīvo frakcija,Līva Kreituse
496,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 5.00,Uldis Budriķis,02/09/2021,,13,Jauno Konservatīvo frakcija,Uldis Budriķis
497,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 65.00,Eva Mārtuža,27/08/2021,,13,Jauno Konservatīvo frakcija,Eva Mārtuža
498,"Kustība ""Par!""",Biedra nauda,EUR 50.00,Vita Anda Tērauda,25/08/2021,,13,Attīstībai/Par!,Vita Anda Tērauda
499,"Kustība ""Par!""",Nauda,EUR 50.00,Mārtiņš Šteins,24/08/2021,,13,Attīstībai/Par!,Mārtiņš Šteins
500,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 60.98,Līva Kreituse,19/08/2021,,13,Jauno Konservatīvo frakcija,Līva Kreituse
501,"Saskaņa, sociāldemokrātiskā partija",Nauda,EUR 914.00,Jānis Urbanovičs,17/08/2021,,13,Saskaņa,Jānis Urbanovičs
502,Latvijas attīstībai,Nauda,EUR 10.00,Dace Rukšāne-Ščipčinska,17/08/2021,,13,Attīstībai/Par!,Dace Rukšāne-Ščipčinska
503,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 100.00,Reinis Znotiņš,16/08/2021,,13,Jauno Konservatīvo frakcija,Reinis Znotiņš
504,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda,EUR 100.00,Edmunds Teirumnieks,16/08/2021,,13,Nacionāla Apvienība VL-TB/LNNK,Edmunds Teirumnieks
505,"Saskaņa, sociāldemokrātiskā partija",Nauda,EUR 100.00,Ivans Ribakovs,11/08/2021,,13,Saskaņa,Ivans Ribakovs
506,Latvijas Sociālistiskā partija,Biedra nauda,EUR 140.00,Artūrs Rubiks,11/08/2021,,13,Saskaņa,Artūrs Rubiks
507,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 61.00,Normunds Žunna,10/08/2021,,13,Jauno Konservatīvo frakcija,Normunds Žunna
508,LATVIJAS ZEMNIEKU SAVIENĪBA (Centriskā partija Latvijas Zemnieku savienība),Nauda,EUR 80.00,Uldis Augulis,10/08/2021,,13,Zaļo un Zemnieku Savienība,Uldis Augulis
509,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 250.00,Krišjānis Feldmans,07/08/2021,,13,Jauno Konservatīvo frakcija,Krišjānis Feldmans
510,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 90.00,Juris Rancāns,07/08/2021,,13,Jauno Konservatīvo frakcija,Juris Rancāns
511,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 85.00,Jānis Butāns,05/08/2021,,13,Jauno Konservatīvo frakcija,Jānis Butāns
512,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 80.00,Sandis Riekstiņš,05/08/2021,,13,Jauno Konservatīvo frakcija,Sandis Riekstiņš
513,"Kustība ""Par!""",Nauda,EUR 30.00,Vita Anda Tērauda,04/08/2021,,13,Attīstībai/Par!,Vita Anda Tērauda
514,"Saskaņa, sociāldemokrātiskā partija",Nauda,EUR 495.00,Jānis Urbanovičs,03/08/2021,,13,Saskaņa,Jānis Urbanovičs
515,"Kustība ""Par!""",Nauda,EUR 25.00,Mārtiņš Šteins,03/08/2021,,13,Attīstībai/Par!,Mārtiņš Šteins
516,"VIENOTĪBA, Partija",Nauda,EUR 50.00,Iveta Benhena-Bēkena,03/08/2021,,13,Pie frakcijām nepiederošie deputāti,Iveta Benhena-Bēkena
517,"Kustība ""Par!""",Nauda,EUR 90.00,Krista Baumane,03/08/2021,,13,Attīstībai/Par!,Krista Baumane
518,"Kustība ""Par!""",Nauda,EUR 50.00,Mārtiņš Šteins,30/07/2021,,13,Attīstībai/Par!,Mārtiņš Šteins
519,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 65.00,Eva Mārtuža,27/07/2021,,13,Jauno Konservatīvo frakcija,Eva Mārtuža
520,"Kustība ""Par!""",Biedra nauda,EUR 50.00,Vita Anda Tērauda,25/07/2021,,13,Attīstībai/Par!,Vita Anda Tērauda
521,"Kustība ""Par!""",Nauda,EUR 60.00,Mārtiņš Šteins,23/07/2021,,13,Attīstībai/Par!,Mārtiņš Šteins
522,"Saskaņa, sociāldemokrātiskā partija",Manta vai pakalpojums,EUR 130.08,Ivans Ribakovs,21/07/2021,,13,Saskaņa,Ivans Ribakovs
523,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda,EUR 100.00,Edmunds Teirumnieks,15/07/2021,,13,Nacionāla Apvienība VL-TB/LNNK,Edmunds Teirumnieks
524,"VIENOTĪBA, Partija",Nauda,EUR 50.00,Iveta Benhena-Bēkena,10/07/2021,,13,Pie frakcijām nepiederošie deputāti,Iveta Benhena-Bēkena
525,Latvijas Sociālistiskā partija,Biedra nauda,EUR 130.00,Artūrs Rubiks,09/07/2021,,13,Saskaņa,Artūrs Rubiks
526,POLITISKĀ PARTIJA IZAUGSME,Nauda,EUR 100.00,Andris Skride,09/07/2021,,13,Attīstībai/Par!,Andris Skride
527,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 45.74,Līva Kreituse,09/07/2021,,13,Jauno Konservatīvo frakcija,Līva Kreituse
528,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 61.00,Normunds Žunna,08/07/2021,,13,Jauno Konservatīvo frakcija,Normunds Žunna
529,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 70.00,Sandis Riekstiņš,08/07/2021,,13,Jauno Konservatīvo frakcija,Sandis Riekstiņš
530,Konservatīvie (Jaunā konservatīvā partija),Biedra nauda,EUR 150.00,Dagmāra Beitnere-Le Galla,07/07/2021,,13,Jauno Konservatīvo frakcija,Dagmāra Beitnere-Le Galla
531,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 90.00,Juris Rancāns,07/07/2021,,13,Jauno Konservatīvo frakcija,Juris Rancāns
532,Latvijas attīstībai,Nauda,EUR 15.00,Dace Rukšāne-Ščipčinska,06/07/2021,,13,Attīstībai/Par!,Dace Rukšāne-Ščipčinska
533,"Saskaņa, sociāldemokrātiskā partija",Manta vai pakalpojums,EUR 114.25,Ivans Ribakovs,06/07/2021,,13,Saskaņa,Ivans Ribakovs
534,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 170.00,Jānis Butāns,06/07/2021,,13,Jauno Konservatīvo frakcija,Jānis Butāns
535,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 65.00,Eva Mārtuža,27/06/2021,,13,Jauno Konservatīvo frakcija,Eva Mārtuža
536,"Kustība ""Par!""",Biedra nauda,EUR 50.00,Vita Anda Tērauda,25/06/2021,,13,Attīstībai/Par!,Vita Anda Tērauda
537,"Kustība ""Par!""",Nauda,EUR 300.00,Inese Voika,20/06/2021,,13,Attīstībai/Par!,Inese Voika
538,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda,EUR 100.00,Edmunds Teirumnieks,15/06/2021,,13,Nacionāla Apvienība VL-TB/LNNK,Edmunds Teirumnieks
539,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 61.00,Normunds Žunna,13/06/2021,,13,Jauno Konservatīvo frakcija,Normunds Žunna
540,Latvijas Sociālistiskā partija,Biedra nauda,EUR 130.00,Artūrs Rubiks,08/06/2021,,13,Saskaņa,Artūrs Rubiks
541,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 70.00,Sandis Riekstiņš,08/06/2021,,13,Jauno Konservatīvo frakcija,Sandis Riekstiņš
542,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 75.00,Reinis Znotiņš,08/06/2021,,13,Jauno Konservatīvo frakcija,Reinis Znotiņš
543,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 200.00,Eva Mārtuža,08/06/2021,,13,Jauno Konservatīvo frakcija,Eva Mārtuža
544,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 90.00,Juris Rancāns,08/06/2021,,13,Jauno Konservatīvo frakcija,Juris Rancāns
545,"VIENOTĪBA, Partija",Nauda,EUR 1000.00,Kārlis Šadurskis,04/06/2021,,13,Jaunā Vienotība,Kārlis Šadurskis
546,"VIENOTĪBA, Partija",Nauda,EUR 500.00,Kārlis Šadurskis,04/06/2021,,13,Jaunā Vienotība,Kārlis Šadurskis
547,POLITISKĀ PARTIJA IZAUGSME,Nauda,EUR 500.00,Andris Skride,03/06/2021,,13,Attīstībai/Par!,Andris Skride
548,LATVIJAS ZEMNIEKU SAVIENĪBA (Centriskā partija Latvijas Zemnieku savienība),Nauda,EUR 500.00,Viktors Valainis,01/06/2021,above_yearly_limit,13,Zaļo un Zemnieku Savienība,Viktors Valainis
549,Latvijas attīstībai,Nauda,EUR 50.00,Gatis Zamurs,28/05/2021,above_yearly_limit,13,Attīstībai/Par!,Gatis Zamurs
550,Latvijas attīstībai,Nauda,EUR 172.06,Gatis Zamurs,27/05/2021,above_yearly_limit,13,Attīstībai/Par!,Gatis Zamurs
551,"VIENOTĪBA, Partija",Biedra nauda,EUR 1000.00,Arvils Ašeradens,27/05/2021,,13,Jaunā Vienotība,Arvils Ašeradens
552,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 65.00,Eva Mārtuža,27/05/2021,,13,Jauno Konservatīvo frakcija,Eva Mārtuža
553,"Kustība ""Par!""",Manta vai pakalpojums,EUR 130.00,Mārtiņš Šteins,26/05/2021,,13,Attīstībai/Par!,Mārtiņš Šteins
554,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 250.00,Krišjānis Feldmans,25/05/2021,,13,Jauno Konservatīvo frakcija,Krišjānis Feldmans
555,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 420.00,Jānis Cielēns,25/05/2021,,13,Jauno Konservatīvo frakcija,Jānis Cielēns
556,"Kustība ""Par!""",Biedra nauda,EUR 50.00,Vita Anda Tērauda,25/05/2021,,13,Attīstībai/Par!,Vita Anda Tērauda
557,Konservatīvie (Jaunā konservatīvā partija),Biedra nauda,EUR 150.00,Dagmāra Beitnere-Le Galla,25/05/2021,,13,Jauno Konservatīvo frakcija,Dagmāra Beitnere-Le Galla
558,"Saskaņa, sociāldemokrātiskā partija",Nauda,EUR 30.00,Edgars Kucins,24/05/2021,,13,Saskaņa,Edgars Kucins
